,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Idaho
6,Indiana
7,Iowa
8,Kansas
9,Louisiana
10,Maine
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,New Hampshire
18,New Jersey
19,New Mexico
20,Oklahoma
21,Pennsylvania
22,Rhode Island
23,Tennessee
24,Utah
25,Vermont
26,Virginia
27,West Virginia
28,Wisconsin
29,Wyoming
